,Rank,Title,Worldwide,Domestic,Overseas
0,1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%
1,2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%
2,3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%
3,4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%
4,5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%
5,6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%
6,7,The Batman,"$770,962,583","$369,345,583",47.9%
7,8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%
8,9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%
9,10,Puss in Boots: The Last Wish,"$481,040,100","$185,535,345",38.6%
10,11,Moon Man,"$460,237,662",-,-
11,12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%
12,13,Uncharted,"$407,141,258","$148,648,820",36.5%
13,14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%
14,15,Black Adam,"$393,252,111","$168,152,111",42.8%
15,16,Elvis,"$287,740,048","$151,040,048",52.5%
16,17,The Bad Guys,"$250,162,278","$97,233,630",38.9%
17,18,Bullet Train,"$239,268,602","$103,368,602",43.2%
18,19,Lightyear,"$226,425,420","$118,307,188",52.2%
19,20,Smile,"$217,408,513","$105,935,048",48.7%
20,21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%
21,22,Nice View,"$211,019,042",-,-
22,23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%
23,24,The Lost City,"$192,907,684","$105,344,029",54.6%
24,25,One Piece Film: Red,"$187,170,704","$12,775,324",6.8%
25,26,M3GAN,"$179,965,562","$95,043,350",52.8%
26,27,Suzume,"$174,749,739","$10,760,901",6.2%
27,28,Nope,"$171,235,592","$123,277,080",72%
28,29,Ticket to Paradise,"$168,763,270","$68,275,985",40.5%
29,30,Morbius,"$167,460,961","$73,865,530",44.1%
30,31,RRR,"$165,955,146","$14,500,000",8.7%
31,32,The Black Phone,"$161,440,742","$90,123,230",55.8%
32,33,The First Slam Dunk,"$151,316,650","$1,275,149",0.8%
33,34,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%
34,35,Everything Everywhere All at Once,"$139,475,957","$77,191,785",55.3%
35,36,Scream,"$137,743,924","$81,641,405",59.3%
36,37,Death on the Nile,"$137,307,235","$45,630,104",33.2%
37,38,A Man Called Otto,"$113,093,436","$64,267,657",56.8%
38,39,"Lyle, Lyle, Crocodile","$110,979,946","$46,888,441",42.2%
39,40,Halloween Ends,"$104,361,355","$64,079,860",61.4%
40,41,The Roundup,"$101,166,707","$812,859",0.8%
41,42,The Woman King,"$93,279,806","$67,328,130",72.2%
42,43,Downton Abbey: A New Era,"$92,651,384","$44,141,550",47.6%
43,44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%
44,45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%
45,46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%
46,47,Dog,"$84,774,243","$61,778,069",72.9%
47,48,Jackass Forever,"$80,563,999","$57,743,451",71.7%
48,49,The Menu,"$79,628,200","$38,501,125",48.4%
49,50,Avatar 2022  Re-release,"$76,012,917","$24,714,024",32.5%
50,51,Violent Night,"$76,004,405","$50,057,405",65.9%
51,52,Strange World,"$73,621,640","$37,968,963",51.6%
52,53,Detective Conan: The Bride of Halloween,"$72,653,401",-,-
53,54,The Northman,"$69,633,110","$34,233,110",49.2%
54,55,Moonfall,"$67,295,363","$19,060,660",28.3%
55,56,Babylon,"$63,363,579","$15,351,455",24.2%
56,57,Whitney Houston: I Wanna Dance with Somebody,"$59,806,881","$23,708,080",39.6%
57,58,Beast,"$59,095,809","$31,846,530",53.9%
58,59,The Whale,"$54,883,206","$17,463,630",31.8%
59,60,Confidential Assignment 2: International,"$54,486,330",-,-
60,61,Ambulance,"$52,300,984","$22,781,115",43.6%
61,62,Marry Me,"$50,477,597","$22,438,180",44.5%
62,63,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%
63,64,The Banshees of Inisherin,"$49,262,687","$10,582,266",21.5%
64,65,The Fabelmans,"$45,625,482","$17,348,945",38%
65,66,Barbarian,"$45,352,337","$40,842,944",90.1%
66,67,Prey for the Devil,"$44,658,929","$19,802,293",44.3%
67,68,Paws of Fury: The Legend of Hank,"$42,506,565","$17,811,382",41.9%
68,69,The Invitation,"$38,036,130","$25,100,080",66%
69,70,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%
70,71,Roald Dahl's Matilda the Musical,"$35,602,350",-,-
71,72,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-
72,73,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%
73,74,Skyfall 2021 Re-release,"$33,910,282",-,-
74,75,Hunt,"$33,821,338","$25,994",<0.1%
75,76,Tad the Lost Explorer and the Emerald Tablet,"$32,849,430","$67,599",0.2%
76,77,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%
77,78,Shin Ultraman,"$32,126,362","$601,490",1.9%
78,79,Amsterdam,"$31,245,810","$14,947,969",47.8%
79,80,Mrs. Harris Goes to Paris,"$30,986,960","$10,433,915",33.7%
80,81,Vikram,"$29,837,637","$1,770,000",5.9%
81,82,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%
82,83,Tár,"$28,993,610","$6,773,650",23.4%
83,84,The 355,"$27,827,745","$14,570,455",52.4%
84,85,Serial (Bad) Weddings 3,"$27,768,420",-,-
85,86,The Night Owl,"$26,719,364",-,-
86,87,Triangle of Sadness,"$26,209,847","$4,608,096",17.6%
87,88,Calendar Girls,"$25,433,615",-,-
88,89,The Kashmir Files,"$24,821,898","$1,485,000",6%
89,90,Hero,"$24,392,492",-,-
90,91,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,716,329",-,-
91,92,The Last 10 Years,"$23,699,624",-,-
92,93,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-
93,94,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%
94,95,Decision to Leave,"$22,935,723","$2,179,864",9.5%
95,96,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%
96,97,6/45,"$22,263,336",-,-
97,98,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-
98,99,See How They Run,"$21,966,634","$9,586,237",43.6%
99,100,Ponniyin Selvan: Part I,"$21,888,295","$4,282,000",19.6%
100,101,Devotion,"$21,768,133","$20,511,938",94.2%
101,102,Silent Parade,"$21,723,595",-,-
102,103,Father Stu,"$21,592,379","$20,884,796",96.7%
103,104,Emergency Declaration,"$21,400,327","$412,196",1.9%
104,105,The Amazing Maurice,"$21,112,438","$4,303,645",20.4%
105,106,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$20,617,005",-,-
106,107,Three Thousand Years of Longing,"$20,282,422","$8,286,741",40.9%
107,108,Turning Red,"$20,122,621",-,-
108,109,After Ever Happy,"$19,238,073","$1,072,750",5.6%
109,110,Simone: Woman of the Century,"$19,149,079",-,-
110,111,Beast,"$18,911,959",-,-
111,112,Broker,"$18,803,921","$1,046,899",5.6%
112,113,Godfather,"$18,737,287",-,-
113,114,School of Magical Animals: Part 2,"$18,460,372",-,-
114,115,Bhool Bhulaiyaa 2,"$18,307,258",-,-
115,116,November,"$18,128,799",-,-
116,117,Fragments of the Last Will,"$17,954,691",-,-
117,118,The Quintessential Quintuplets Movie,"$17,506,171","$502,000",2.9%
118,119,Fall,"$17,363,261","$7,240,521",41.7%
119,120,Wunderschön,"$16,719,291",-,-
120,121,Father There Is Only One 3,"$16,707,892",-,-
121,122,Even If This Love Disappears from the World Tonight,"$16,474,515",-,-
122,123,Dr. Coto's Clinic,"$16,062,841",-,-
123,124,Radhe Shyam,"$15,954,804","$1,860,000",11.7%
124,125,Blacklight,"$15,902,207","$9,591,094",60.3%
125,126,Operation Mincemeat,"$15,710,164",-,-
126,127,Maison de retraite,"$15,570,823",-,-
127,128,Bheemla Nayak,"$15,243,922",-,-
128,129,Bones and All,"$15,134,907","$7,834,907",51.8%
129,130,Terrifier 2,"$15,065,239","$10,640,105",70.6%
130,131,Firestarter,"$15,039,250","$9,739,250",64.8%
131,132,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-
132,133,Bros,"$14,781,867","$11,628,165",78.7%
133,134,Superwho?,"$14,770,359",-,-
134,135,X,"$14,740,889","$11,765,309",79.8%
135,136,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%
136,137,The Duke,"$14,227,217","$1,526,970",10.7%
137,138,Sarkaru Vaari Paata,"$14,199,018",-,-
138,139,Interstellar 2021 Re-release,"$14,032,877",-,-
139,140,She Said,"$13,935,352","$5,825,995",41.8%
140,141,Bodies Bodies Bodies,"$13,929,670","$11,446,602",82.2%
141,142,Monster,"$13,910,991",-,-
142,143,Memory,"$13,897,255","$7,329,043",52.7%
143,144,The Legend of Maula Jatt,"$13,839,539","$5,016,493",36.2%
144,145,Glass Onion,"$13,280,000","$13,280,000",100%
145,146,Valimai,"$13,276,393",-,-
146,147,Moonage Daydream,"$13,095,781","$4,218,925",32.2%
147,148,Easter Sunday,"$13,074,255","$13,013,690",99.5%
148,149,Guglhupfgeschwader,"$12,307,072",-,-
149,150,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-
150,151,Living,"$12,208,598","$3,038,113",24.9%
151,152,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%
152,153,Alienoid,"$12,067,556","$168,309",1.4%
153,154,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$11,631,738","$1,588,491",13.7%
154,155,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%
155,156,Empire of Light,"$11,395,604","$1,177,577",10.3%
156,157,Till,"$11,348,094","$9,000,202",79.3%
